id	file	left	target	right
cold/j/mag_1845_522615/4947	mag_1845_522615	this gallant people ; such the magnitude of the result , when , instead of	cold	"calculation , vehement passion was brought into action . "" Place this philosophic and moral"
cold/j/mag_1838_554654/4924	mag_1838_554654	nine . When the tree reaches a mature age , it bids defiance to our	coldest	winters and most uncertain springs and , if guarded from the assaults of insects ,
cold/j/fic_1962_23784/1781	fic_1962_23784	smell the acrid effluvium of coal gas in the gray winter air , or ,	cold	and crowded , huddle in the back of a truck , holding his rifle tightly
cold/j/fic_1976_10618/2740	fic_1976_10618	"Finish your tea , "" Mrs. Ackroyd told her daughter . "" It 's getting"	cold	". Then I think you ought to lie down . "" Vera obediently picked up"
cold/j/fic_1895_3154/26278	fic_1895_3154	betraying any surprise . Pretending to taste it , and declaring that it was too	cold	, I threw it , cup and all , angrily away . Then I dipped
cold/j/mag_2001_417951/16	mag_2001_417951	@@417951 A century and a half ago , the world 's mountainous regions were somewhat	colder	than they are today . We know this because historical records-writings , paintings , early
cold/j/fic_1879_788/1096	fic_1879_788	, lonely , silent , motionless , its long level uninterrupted , basking in the	cold	"light of the stars . The simile of a "" nest "" as applied to"
cold/j/fic_1997_42395/2465	fic_1997_42395	"it . "" Hans 's face was impassive . He suddenly looked years older-austere ,"	cold	, priestly . Stasselova turned then to look at me . This was obviously an
cold/j/fic_1997_54792/1355	fic_1997_54792	, little wolves . He covered himself with leaves and dirt . He was always	cold	. Sometimes the leaves pretended to be hands fondling him in the dark . <p>
cold/j/mag_1969_214525/312	mag_1969_214525	the story came up from the composing room and we saw all those words in	cold	"print for the first time , we chickened out , "" he says . """
cold/j/fic_1908_1369/8780	fic_1908_1369	what a find ! Instantly he was the cautious man of business , alert ,	cold	", uncommunicative . "" That looks like a pretty good --  "" he drawled the last"
cold/j/mag_1815_552651/4236	mag_1815_552651	, for , before night , it began to blow in heavy squalls , with	cold	rain , and reduced us to close-reefed fore arid main topsails , and reefed fore-sail
cold/j/nf_1994_746852/1868	nf_1994_746852	remain at the core of the laboratories ' programs . <p> The end of the	cold	war presents a challenge that transcends the national weapons laboratories . For the first time
cold/j/mag_1979_480146/2559	mag_1979_480146	have in mind for our children ? Do not give us the grand abstractions of	Cold	War ideology which satisfied most citizens in the past , the academic garble about '
cold/j/news_1987_668822/323	news_1987_668822	"Meatballs . ' "" But they did . Sunday , May 3 , perhaps the"	coldest	afternoon since a young Bill Veeck strung the ivy on the walls at Addison and
cold/j/mag_1992_396455/1515	mag_1992_396455	States wo n't need to deal with snow . A ripping blizzard fueled by bitterly	cold	gale-force winds , however , may indeed cause problems . One year , Ron Dube
cold/j/mag_1951_491624/6589	mag_1951_491624	Smoke rose from the rock-and-clay chimney whose hearth , by mountain custom , never went	cold	. Today there were horses tethered to the fence and trees . There were buggies
cold/j/fic_1997_54591/4985	fic_1997_54591	"if you knew . "" <p> There was a look in his eye  --  a"	cold	look , as if he was challenging me to disbelieve him , and I did
cold/j/mag_1962_246610/200	mag_1962_246610	president of Harvard and editor @ @ @ @ @ @ @ @ @ @	cold	war and makes his study nature . What he finds-from the eagle-hung abyss below Delphi
cold/j/mag_1891_597675/3478	mag_1891_597675	answered that , so far as he had remarked , the count lived mainly on	cold	shoulder . Going from the muddy street into an avenue club-house one rainy Easter when
cold/j/news_1999_653855/784	news_1999_653855	the war and the most widely produced model in the world . <p> During the	cold	war , the Ilyushin Design Bureau , as @ @ @ @ @ @ @
cold/j/fic_1995_39317/2958	fic_1995_39317	meant that now and then they might have to take a taxi to avoid the	cold	wet rain , and once or twice Birnhaus even cranked up his old BMW which
cold/j/mag_1876_582238/1232	mag_1876_582238	the same alarm , which sexes the tender and delicate woman , and petrifles the	colder	heart of man , grows into a panic , and spreads throughout a community ,
cold/j/fic_1934_14180/10227	fic_1934_14180	murmurs a casual assent to LORA 'S words there comes no look save that of	cold	and cryptic understanding . LORA GRAHAM ( Bending over and sniffing the @ @ @
cold/j/fic_1852_9031/34396	fic_1852_9031	honey-moon of air and melody . How 's your stomach ? By-the-bye , some fine	cold	fricasseed chicken , ham , venison , steak , and appledumplings in here  --  would
cold/j/news_2000_627649/25233	news_2000_627649	a Christmas bonus for Houston energy companies selling power in the state . <p> The	cold	weather that has hit Houston and the rest of the nation has put a serious
cold/j/news_1905_781306/545	news_1905_781306	Alfred G. Vanderbilt , BIG CRASH IN BARGE OFFICE . Man with Mistaken Grudge Makes	Cold	Quarters for Immigrants . Louis Rouse , 22 years old , was a prisoner in
cold/j/mag_2006_429053/1205	mag_2006_429053	The clutter within a closet @ @ @ @ @ @ @ @ @ @	cold	nights . That was my excuse , anyway . Until recently . Today , if
cold/j/fic_2006_29470/685	fic_2006_29470	the sound of the scum spilling out into the yard below . Hooting in the	cold	air . Their words drift skyward in smoky puffs . The noise of their obscene
cold/j/fic_1995_39372/2316	fic_1995_39372	kind of thing we remember and call good times . The hottest summers and the	coldest	winters . <p> That 's why maybe it is wrong , the way I remember
cold/j/fic_1958_23740/901	fic_1958_23740	and the barns were empty except for the film patrol horse . A cloak of	cold	silence hung over the stabling area ; the racetrack was barren of its customary early
cold/j/mag_1970_490701/4063	mag_1970_490701	", and she also began to cook the medley of vegetables . "" Always use"	cold	"water for cooking , "" she said . "" Hot water stays in the pipes"
cold/j/mag_1851_555737/3926	mag_1851_555737	Ambition , revenge , envy , jealousy , are his ruling passions ; and his	cold	temperament is little exposed to those effeminate vices which are the bane of milder races
cold/j/fic_1997_29729/6834	fic_1997_29729	pat him on the @ @ @ @ @ @ @ @ @ @ is	cold	and I step inside my office to pick out a book but out of the
cold/j/fic_1939_10115/9248	fic_1939_10115	en away @ @ @ @ @ @ @ @ @ @ people arehungry and	cold	they will take by force what they need . And the little screaming fact that
cold/j/nf_1934_773965/6126	nf_1934_773965	temperature normal . The amount of clothing you wear varies with the temperature . In	cold	weather clothing should be warm , but not heavy . Woolens are good , because
cold/j/mag_1968_488115/1324	mag_1968_488115	"for many of us , even as jeers . "" Senghor 's soup is getting"	cold	", "" the students then chanted , as the officials stayed on in the cathedral"
cold/j/fic_2009_36432/3460	fic_2009_36432	". We 've played games with them for too cursed long . "" <p> A"	cold	wind seemed to blow through the little room . You 'll answer for it if
cold/j/mag_1891_572250/526	mag_1891_572250	Declaration , or were they still filled with its spirit ? While putting into the	cold	phraseology of the Constitution the grants and limitations of governmental power , did they forget
cold/j/fic_1894_9697/4467	fic_1894_9697	Treasure Trove is as honest as they can make them ; and that 's the	cold	truth . ( insinuatingly ) Now , do n't you want to buy a gold
cold/j/mag_1898_552291/9462	mag_1898_552291	naturally made him unpopular with certain classes , and gave him a reputation of being	cold	and unapproachable , but to those admitted to his personal friendship he was a most
cold/j/fic_1954_23681/4041	fic_1954_23681	the vestibule door as the tenants came home , bringing with them a whiff of	cold	street air . Between these minor events our silence was peaceful : the little clock
cold/j/fic_1957_4602/559	fic_1957_4602	rest of his days ferrying letters on the Ganymede run . He sucked in the	cold	night air of summertime Alaska and squared his shoulders . * * * * *
cold/j/nf_1977_773501/8384	nf_1977_773501	instance , at a time when public interest was centred on the dangers of the	Cold	War in Europe or the position of the oil companies in Persia , to have
cold/j/mag_1942_491962/1185	mag_1942_491962	he joined Hearst , there was something approaching affection in his voice , and his	cold	blue eyes would show a trace of warmth . @ @ @ @ @ @
cold/j/fic_2008_36166/2258	fic_2008_36166	was the first day of summer , but I stepped outside into an unseasonable Alaskan	cold	front , which had roared out of the north , blasting Los Angeles . A
cold/j/mag_2005_419657/766	mag_2005_419657	of the Hit It Here Cafe in right field . Giambi has run hot and	cold	all season-14 of his 26 homers have come in just seven games-but considering the Yankees
cold/j/fic_2005_50021/2875	fic_2005_50021	, Julia lay on the sofa in her underwear and a tank top , drinking	cold	milk with Hershey 's syrup and watching TV reruns from before she was born .
cold/j/news_1991_619072/376	news_1991_619072	attitude ? I think not . <p> BOB BRACKETT <p> San Francisco <p> LONG ,	COLD	WINTER <p> Editor  --  The Bush recession continues to get worse . We now @
cold/j/mag_1950_190879/204	mag_1950_190879	that @ @ @ @ @ @ @ @ @ @ this phase of the	cold	war , the detective section of the Tokyo Metropolitan Police Bureau last week issued a
cold/j/fic_1862_3740/6247	fic_1862_3740	"my father ! "" LIZZIE . Mother , what ails our Lizzie dear , So"	cold	and still she lies ? She does not speak a word to-day , And closed
cold/j/mag_1997_398569/1144	mag_1997_398569	above , and surrounding , the steering and control console . When the morning 's	cold	front had passed and the skies had cleared , we headed out Fort Lauderdale 's
cold/j/fic_1959_16355/19776	fic_1959_16355	said it ) It died with my wife and son . ( He is immediately	cold	and remote again ) Go back to your oar , Forty-One . Ben Hur turns
cold/j/mag_1982_298031/42	mag_1982_298031	the kind of well-made but not very venturesome adventure picture that almost four decades of	cold	war have made all too familiar . The second , however , is airborne ,
cold/j/news_1966_725677/840	news_1966_725677	a forked tail of flame behind its Titan 2 rocket . As it went through	colder	air a great cumulus cloud of condensation vapor rolled off . Then it was gone
